Time Stamp,Sensor Value
2025-03-15T15:43:40.109788+05:30,Sensor Value: 132
2025-03-15T15:43:42.105683+05:30,Sensor Value: 132
2025-03-15T15:43:44.108209+05:30,Sensor Value: 131
2025-03-15T15:43:46.108527+05:30,Sensor Value: 130
2025-03-15T15:43:48.115353+05:30,Sensor Value: 128
2025-03-15T15:43:50.114770+05:30,Sensor Value: 119
2025-03-15T15:43:52.115123+05:30,Sensor Value: 113
2025-03-15T15:43:54.115488+05:30,Sensor Value: 125
2025-03-15T15:43:56.120525+05:30,Sensor Value: 129
2025-03-15T15:43:58.131754+05:30,Sensor Value: 129
2025-03-15T15:44:00.135543+05:30,Sensor Value: 130
2025-03-15T15:44:02.148481+05:30,Sensor Value: 127
2025-03-15T15:44:04.148068+05:30,Sensor Value: 127
2025-03-15T15:44:06.155812+05:30,Sensor Value: 127
2025-03-15T15:44:08.160203+05:30,Sensor Value: 127
2025-03-15T15:44:10.163143+05:30,Sensor Value: 129
2025-03-15T15:44:12.174458+05:30,Sensor Value: 130
2025-03-15T15:44:14.174298+05:30,Sensor Value: 131
2025-03-15T15:44:16.184379+05:30,Sensor Value: 144
2025-03-15T15:44:18.183623+05:30,Sensor Value: 152
2025-03-15T15:44:20.195059+05:30,Sensor Value: 156
2025-03-15T15:44:22.193324+05:30,Sensor Value: 160
2025-03-15T15:44:24.202527+05:30,Sensor Value: 165
2025-03-15T15:44:26.209626+05:30,Sensor Value: 164
2025-03-15T15:44:28.210067+05:30,Sensor Value: 169
2025-03-15T15:44:30.211272+05:30,Sensor Value: 169
2025-03-15T15:44:32.220740+05:30,Sensor Value: 172
2025-03-15T15:44:34.221192+05:30,Sensor Value: 176
2025-03-15T15:44:36.223063+05:30,Sensor Value: 175
2025-03-15T15:44:38.227855+05:30,Sensor Value: 173
2025-03-15T15:44:40.232191+05:30,Sensor Value: 174
2025-03-15T15:44:42.239419+05:30,Sensor Value: 170
2025-03-15T15:44:44.238621+05:30,Sensor Value: 172
2025-03-15T15:44:46.238008+05:30,Sensor Value: 162
2025-03-15T15:44:48.238823+05:30,Sensor Value: 152
2025-03-15T15:44:50.246417+05:30,Sensor Value: 136
2025-03-15T15:44:52.252377+05:30,Sensor Value: 147
2025-03-15T15:44:54.250384+05:30,Sensor Value: 149
2025-03-15T15:44:56.257487+05:30,Sensor Value: 152
2025-03-15T15:44:58.255971+05:30,Sensor Value: 154
2025-03-15T15:45:00.263389+05:30,Sensor Value: 155
2025-03-15T15:45:02.262223+05:30,Sensor Value: 157
2025-03-15T15:45:04.270693+05:30,Sensor Value: 159
2025-03-15T15:45:06.267091+05:30,Sensor Value: 160
2025-03-15T15:45:08.271243+05:30,Sensor Value: 158
2025-03-15T15:45:10.272963+05:30,Sensor Value: 162
2025-03-15T15:45:12.282643+05:30,Sensor Value: 166
2025-03-15T15:45:14.283033+05:30,Sensor Value: 158
2025-03-15T15:45:16.287607+05:30,Sensor Value: 169
2025-03-15T15:45:18.285038+05:30,Sensor Value: 160
2025-03-15T15:45:20.286764+05:30,Sensor Value: 157
2025-03-15T15:45:22.295657+05:30,Sensor Value: 150
2025-03-15T15:45:24.293580+05:30,Sensor Value: 147
2025-03-15T15:45:26.296992+05:30,Sensor Value: 152
2025-03-15T15:45:28.296894+05:30,Sensor Value: 176
2025-03-15T15:45:30.306339+05:30,Sensor Value: 173
2025-03-15T15:45:32.302209+05:30,Sensor Value: 193
2025-03-15T15:45:34.307310+05:30,Sensor Value: 196
2025-03-15T15:45:36.313082+05:30,Sensor Value: 187
2025-03-15T15:45:38.309820+05:30,Sensor Value: 200
2025-03-15T15:45:40.317443+05:30,Sensor Value: 199
2025-03-15T15:45:42.316600+05:30,Sensor Value: 204
2025-03-15T15:45:44.319339+05:30,Sensor Value: 202
2025-03-15T15:45:46.323371+05:30,Sensor Value: 209
2025-03-15T15:45:48.319373+05:30,Sensor Value: 193
2025-03-15T15:45:50.322441+05:30,Sensor Value: 193
2025-03-15T15:45:52.325630+05:30,Sensor Value: 205
2025-03-15T15:45:54.333622+05:30,Sensor Value: 209
2025-03-15T15:45:56.335914+05:30,Sensor Value: 217
2025-03-15T15:45:58.341860+05:30,Sensor Value: 215
2025-03-15T15:46:00.334756+05:30,Sensor Value: 206
2025-03-15T15:46:02.342156+05:30,Sensor Value: 193
