Date,Time,Filename,Visibility (%),Avg Dark Value
13-03-2025,07:31:52,image_20250313_073152.jpg,71.71,72.14
13-03-2025,07:31:58,image_20250313_073158.jpg,71.73,72.1
13-03-2025,07:32:04,image_20250313_073204.jpg,71.89,71.68
13-03-2025,07:32:10,image_20250313_073210.jpg,71.7,72.16
13-03-2025,07:32:16,image_20250313_073216.jpg,71.75,72.04
13-03-2025,07:32:22,image_20250313_073222.jpg,71.83,71.84
13-03-2025,07:32:28,image_20250313_073228.jpg,71.91,71.63
13-03-2025,07:32:34,image_20250313_073234.jpg,72.04,71.29
13-03-2025,07:32:40,image_20250313_073240.jpg,72.09,71.16
13-03-2025,07:32:45,image_20250313_073245.jpg,72.17,70.98
13-03-2025,07:32:51,image_20250313_073251.jpg,72.2,70.9
13-03-2025,07:32:57,image_20250313_073257.jpg,72.19,70.92
13-03-2025,07:33:03,image_20250313_073303.jpg,72.25,70.75
13-03-2025,07:33:09,image_20250313_073309.jpg,72.23,70.81
13-03-2025,07:33:15,image_20250313_073315.jpg,72.29,70.67
13-03-2025,07:33:21,image_20250313_073321.jpg,71.91,71.63
13-03-2025,07:33:27,image_20250313_073327.jpg,72,71.39
13-03-2025,07:33:33,image_20250313_073333.jpg,71.96,71.5
13-03-2025,07:33:39,image_20250313_073339.jpg,72.09,71.16
13-03-2025,07:33:44,image_20250313_073344.jpg,72.29,70.67
13-03-2025,07:33:50,image_20250313_073350.jpg,72.13,71.06
13-03-2025,07:33:56,image_20250313_073356.jpg,72.13,71.07
13-03-2025,07:34:02,image_20250313_073402.jpg,72.14,71.05
13-03-2025,07:34:08,image_20250313_073408.jpg,72.22,70.83
13-03-2025,07:34:14,image_20250313_073414.jpg,72.3,70.63
13-03-2025,07:34:20,image_20250313_073420.jpg,71.91,71.62
13-03-2025,07:34:26,image_20250313_073426.jpg,72,71.39
13-03-2025,07:34:32,image_20250313_073432.jpg,72.09,71.16
13-03-2025,07:34:38,image_20250313_073438.jpg,72.03,71.31
13-03-2025,07:34:44,image_20250313_073444.jpg,71.96,71.51
13-03-2025,07:34:50,image_20250313_073450.jpg,71.89,71.67
13-03-2025,07:34:56,image_20250313_073456.jpg,71.74,72.05
13-03-2025,07:35:02,image_20250313_073502.jpg,71.64,72.31
13-03-2025,07:35:08,image_20250313_073508.jpg,71.53,72.61
